date,open,high,low,close,volume,Name,DATE,News,Length of Headlines,Close to Close
41313,67.7142,68.4014,66.8928,67.8542,158168416,AAPL,41313,"An Egyptian Salafi preacher said raping and sexually harassing women protesters in Cairos Tahrir Square is justified, calling them crusaders who have no shame, no fear and not even feminism.Australian children are to be banned from blowing out candles on communal birthday cakes under new hygiene regulations35 ancient pyramids discovered in SudanA Somali court has sentenced a woman to a year in prison after she accused security forces of raping her.Woman vandalizes famous Louvre painting ""Liberty Leading the People"" by DelacroixThe drone war is a shadow war, widely reported in the media but officially unacknowledged by the CIA and the White House. no one knows precisely how many casualties our shadow war has caused, but media and NGO reports suggest that the number of deaths is somewhere between 3,000 and 5,000.Aviation experts say new Iranian stealth jet is a pathetic hoax that cant even flyPolice defuse bomb in Madrid cathedralAll dogs will now have to be microchipped in EnglandSpain Offers Citizenship to Descendants of Jews Forced Out During the Inquisition
The brutal gang rape and murder of a young woman on Saturday have led to an outpouring of anger among South Africans, frustrated with a national epidemic of sexual violence.Personal finance education to be compulsory across EnglandUN says bribe payments soar in Afghanistan - Survey found that $3.9bn, twice the nation's domestic revenue, was paid in bribes in 2012.Child-free seats on AirAsia for just 25 extraVermont Maple Sugar Candy Producer implicated in Canadian $20-million maple syrup heist from Quebec warehouseBorn In An Iranian Prison -- And Into A Lifetime Of ConsequencesBack in the USSR? Key Soviet document that proclaimed the death of the Soviet Union is missingBlunt Words on China from U.S. NavySuicide bomber blows himself up near Mali soldiers
Turkey tells US envoy to stop meddling in its affairs35 pyramids discovered in a Sudan NecropolisDerision, bafflement over Egypt prime ministers remark on unhygienic breasts causing diarrheaA Sri Lankan prisoner who tried to hide his cellphone during a search of his cell was caught out when guards heard a ring tone emanating from his rectum - complete with x-ray image.Gunmen Kill 9 in Attacks on Nigerian Polio Clinics - Attacks come after  local cleric denounced polio vaccination campaigns &amp; local radio programs repeated previous conspiracy theories about such campaigns being a Western plot to harm Muslims.
Overwhelmed by a critical housing crisis, Hong Kongs poorest residents forced to live in metal cages",2562,0.7072
41316,68.0714,69.2771,67.6071,68.5614,129029425,AAPL,41314,"Mathematician discovers 17-million digit prime number:  'No practical use' India judge defends acquitting 35 accused in  gangrape case: ""There was ample evidence to show the girl was used for child prostitution, which is not rape""The British Queen is facing a tough inquiry into her finances and expenses by the most powerful watchdog in governmentInside A Secret CIA Prison In The Polish Countryside: Documents reveal how American intelligence officers turned a secret training center for Polish security forces into one of the controversial ""black site"" prisons for terrorism suspectsThere's a reason Egyptians keep taking to the streets: The Muslim Brotherhood has proved to be little more than the old Mubarak clique with beards11,000 Elephants Slaughtered in African ForestGerman Education Minister Annette Schavan has resigned after a university stripped her of her doctorate for plagiarism.
Polio workers in Nigeria shot dead:  At least nine health workers gunned down in northern city of Kano amid increasing hostility towards polio immunisation driveSouth Korea says it will launch a pre-emptive strike against Pyongyang if they moves to test a nuclear weaponPapua New Guinea woman burned alive for sorcery: ""She was stripped naked, tortured with a branding iron and tied up, splashed with fuel and set alight, while a crowd that included school children looked on""Cold War in Asia: Japan suggests setting up a military hotline with China to avoid clashes between the two countriesIran's president defies supreme leader to safeguard his futureMob strips, tortures, and burns alive woman accused of witchcraft in Papua New Guinea 
 China will compensate a woman who was held in a disused morgue as punishment for going to Beijing to petition against her husband's jailingMalala, Pakistani teen shot by Taliban, leaves hospital after stunning recoverySuicide bomber in north Mali manages to kill 1 person, himself. Japan demanded a formal apology from China yesterday for a ""one-sided provocation"" after its navy targetted a Japanese destroyer patrolling the disputed Senkaku Islands with weapons-linked radars. Horse meat crisis widens
Syria: Children in Aleppo suffer horrific injuries as Assad forces target civiliansA judge in Chile has ordered the exhumation of the remains of the poet Pablo Neruda, as part of an inquest into his death in 1973.
Oil-rich, velvet-rope-poor Azerbaijan, a country about the size of South Carolina on the Caspian Sea, would very much like to be the worlds next party capitalGuatemala declares national coffee emergencyWoman defaces famous Louvre painting with black penDelhi parliament attack plotter hangedHuge Bangladesh rally seeks death penalty for Islamists",2708,-1.7186
41317,68.5014,68.9114,66.8205,66.8428,151829363,AAPL,41315,"Aldi confirms up to 100% horsemeat in beef products:  Supermarket says it is angry with supplier Comigel after tests reveal 30% and 100% horsemeat in withdrawn ready meals
British sugar giant caught in global tax scandal 
Muslim fundamentalists use British television channels to preach in favour of violent crime and killing apostates. Thousands protest in Ireland against bank bailoutsCuriosity Mars rover takes historic drill sampleChina Passes U.S. to Become Worlds Biggest Trading NationRussian opposition leader put under house arrestThousands more people will have to pay inheritance tax to help fund long-awaited social care reforms in EnglandChinese table-tennis player with key role in diplomacy leading to thaw in US-China relations in the 1970s, has died aged 73.Spanish leader teeters under corruption scandal:  Strapped for cash, Spaniards seethe over allegations of kickbacks to high-ranking Spanish officials, including Prime Minister Mariano Rajoy.
Attack in Nigeria is latest onslaught targeting health workers by radical Islamic sectTunisian Islamists rally to show power of street:  Thousands of Islamists marched in Tunis on Saturday in a show of strength, a day after the funeral of an assassinated secular politician drew the biggest crowds seen on the streets since Tunisia's uprising two years ago.South Sudan attack leaves more than 100 deadSexual abuse victim's suicide sparks call for review of court procedures | UK newsAn arachnophobe's worst nightmare? Its 'raining spiders' in BrazilMali War Shifts as Rebels Hide in High SaharaPro-N. Korean activist gets jail term for illegal trip to PyongyangSouth Korean doctors killed in north-eastern NigeriaKosovo to get an army in JuneDutch Put Electric Cars to the Test - NYTimes.comHorse meat scandal: How horses slaughtered in Romania end up on British platesIMF sees 140m jobs shortage in ageing China as 'Lewis Point' hits
Chinas vast reserve of cheap workers in the hinterland is vanishing
at a vertiginous pace.Peculiar 900-year-old Order of the Knights of Malta celebrates anniversary with Vatican massN. Korea says world mistakenly interprets its ""important measures"" as nuclear testBBC news ""Huge Bangladesh rally seeks death penalty for war crimes""",2237,-0.1272
41318,66.7442,67.6628,66.1742,66.7156,118721995,AAPL,41316,"Pope Pope Benedict XVI 'to resign'. The Pope is to resign at the end of this month in an entirely unexpected development, reports from the Vatican say.To get the gold, they will have to kill every one of us - The most-storied warrior tribe in Ecuador prepares to fight as the government sells gold-laden land to China
Leaked Documents Reveal Gas Company Eyeing Protected Region in Peruvian Amazon Where Biodiversity ""Exceeds That of Any Other Place on Earth"" &amp; is Home to  Indigenous People Who Have No Regular Contact With the Outside WorldChina tightens concert rules after Elton John's 'disrespectful' Beijing show. Officials considered banning foreign artists without university degrees, after singer dedicated song to Ai Weiwei, say sources""Unfortunately, we live in an age where any no-brains that brandishes a gun and screams 'God is great' thinks he's speaking for Islam, when he is merely just a hoodlum with a gun.""An asteroid is going to fly by Earth on Feb.15. This is going to be the closest an asteroid has come to Earth without hitting it.Wind power capacity grew 20% globally in 2012Farmers use of genetically modified soybeans grows into Supreme Court caseFascism mounts a comeback in Italy. As Italy prepares for elections, Mussolini, the father of Fascism, is casting a long shadow. Outrage After Job Center Suggests Brothel Job for Young Woman in GermanyAfghan boy, 13, jailed for having sex with menMicrosoft, Apple (and others) summonsed to explain high prices in AustraliaAn energy company is eyeing up the gas reserves of a national park in the Peruvian Amazon whose biodiversity Unesco says ""exceeds that of any other place on Earth"" and is home to indigenous people who have no regular contact with the outside worldIsraeli police detained 10 women at one of Judaism's most sacred sites for wearing prayer shawls, which Orthodox tradition sees as solely for menAttackers in northern Nigeria killed three Korean doctors, beheading one of them, two days after suspected Islamic fundamentalists shot dead nine polio vaccinators nearbyIslamic extremists armed with AK-47 automatic rifles invaded Gao in wooden boats in a surprise attack on the most populous city in northern Mali: ""Gao is becoming like Pakistan""After 2 months absent, still no sign of Chavez:  Two months have passed since Venezuelan President Hugo Chavez climbed the stairs of the presidential jet, blew kisses to his supporters and flew to Cuba to undergo his fourth cancer-related surgery.Nigerian prostitutes promise week of free sex if Nigeria win Africa Cup of NationsTo curb poaching menace, India is considering issuing ""shoot-at-sight"" orders.Anti-gay, religious group gets funds from the Canadian government to work in UgandaTwo people in southwest China have tested positive for the H5N1 bird flu virus and are critically ill, state news agency Xinhua said on Sunday, citing the Chinese health ministry.China has leapfrogged the US to become the worlds biggest trading nation, bringing an end to the USs post-war dominance of global commerce.  Over the Antarctic, the Smallest Ozone Hole In a Decade The pilgrims came, millions upon millions of them, in the greatest tide of humanity ever seen. Again and again, the vast crowds threatened to press too close, to trample the smallest. Then it happened ...
As many as 30 people were killedPope Benedict XVI to resign feb 28",3377,-0.06
41319,66.3599,67.3771,66.2885,66.6556,88809154,AAPL,41317,"Iran urges to destroy all atomic weapons after N.Korea nuclear test: ""We need to come to the point where no country has any nuclear weapons and at the same time all weapons of mass destruction and nuclear arms need to be destroyed""China's patience with North Korea wears thin after latest nuclear testChina's New Bachelor Class ""An estimated 12 to 15 percent of Chinese men -- a population nearly the size of Texas -- will be unable to find a mate within the next seven years.""4.9 earthquake detected in North Korea, indicates possible nuclear blast.In surprise move, IOC drops wrestling from 2020 Olympic program North Korea tells U.N. will never bow to nuclear resolutions: ""The U.S. and their followers are sadly mistaken if they miscalculate the DPRK would respect the entirely unreasonable resolutions against it. The DPRK will never bow to any resolutions""The same international body that enacted a 1990 global ivory ban allowed China in 2008 to import ivory. This catastrophic reversal can be counted in carcasses  elephant and human. Healthy Vancouver senior commits suicide in bid to change right-to-die law: 'I do not have a terminal illness; I am simply old, tired and becoming dependent, after a wonderful life of independence'Iran's 'fake' fighter jet which experts say can't fly is spotted in the air (with a little help from Photoshop).Chinese Hackers Are Going After U.S. in General, Not Just Media CompaniesNorth Korea: Nuke test just a ""first response"" aimed at U.S.North Korea earthquake was a nuclear test, UN official says: UN Confirms nuclear test in North KoreaPolice hunting serial rapist dont know whom to charge after DNA leads to arrest of identical twinsPope's Sudden Resignation Sends Shockwaves Through Church: ""Church officials tried to relay a climate of calm confidence in the running of a 2,000-year-old institution, but the decision could lead to uncertainty in a Church already besieged by scandal for covering up sexual abuse""Australia's ABC exposes the mystery of Prisoner X, an Australian Jew working for Mossad who killed himself in Israeli Prison.Obama to announce return of 34,000 troops from Afghanistan
| Top NewsGovernment killing online surveillance billA multibillion-dollar expansion of the Panama Canal is proving a boon to scientists. The construction has revealed a trove of fossils, revealing a wide array of creatures that lived at the southern end of North America 20 millions years ago.Japan to send planes to monitor radiation after N Korea test North Korea withdraws from nuclear test site: ReportOlympic Committee Drops Wrestling From 2020 Games
Coca-Cola rejects findings that its product was the most likely cause of the death of a New Zealand woman.Not only has Putin made Russia the worlds largest oil producer, hes also made it the biggest gold buyer. His central bank has added 570 metric tons of the metal in the past decade. The added gold is also almost triple the weight of the Statue of Liberty'Tories no longer party of privilege', claims David Cameron at 400-a-head champagne ballNon-muslim teachers at Islamic College forced to wear hijab or lose their jobs",3131,-0.9185
41320,66.9785,67.1656,65.7028,65.7371,97924631,AAPL,41318,"The European Union and the US will begin formal talks on a free-trade agreement, paving the way for the biggest trade deal in history. 'He will stay in prison for a long time': Saudi royal family intervenes in case of 'celebrity' preacher released after paying blood money despite raping and torturing daughter to death
Russian cop faces 5 years in jail after leaving disabled man to die on street in -40C: After losing his fingers as a result of twelve hours spent in subzero temperatures, a disabled man has died from a blood clot in a Russian hospitalFrench Assembly Approves Gay Marriage.North Korea Nuclear Test: Japan, South Korea Ready Armies Following ProvocationGoogle Maps reveals identity of North Korean test faciltyFiance kidnaps his bride from a mental clinic after she's been put in there on a false accusation by her relatives (translated article)China bans television ads for bling to douse growing frustration in wealth disparityCould the Middle East run out of water? New NASA images warn of water shortageRoof collapses at the Chernobyl nuclear power plant: Wall panels and parts of the roof fell in on Tuesday in the machine-hall at the plant's Reactor Number Four. No-one was hurt in the incident and the radiation level in the so-called exclusion zone around the plant has not changedAfghan military helicopter pilot flies missions with her daughter, as she has no childcare.G20 commissioned study by OECD urges stronger international co-operation on corporate tax.  Finds that some multinationals use strategies that allow them to pay as little as 5% in corporate taxes when smaller businesses are paying up to 30%. Iranian ambassador's high-five with a German woman lawmaker causes uproar in Iran.A NATO airstrike killed 10 Afghan civilians, including five children, in eastern Afghanistan on Wednesday, local officials saidVatican reveals pope had secret heart surgeryEgypt: Hundreds of Police Stage Rare ProtestsHealth officials in the UK believe they have the strongest evidence yet that a new respiratory illness similar to the deadly Sars virus can spread from person to person.Britain summons North Korea ambassador over nuclear testStrange Shiny Object On Mars IdentifiedAustralian Dairy farmers face ruin amid supermarket milk warSyrian air base falls, Assad forces under pressureIsrael's Prisoner X revealed NATO airstrike kills 10 civilians, Afghan official says
French Assembly passes gay marriage, adoption billDevastating collection of video interviews with young children inside Syria. Little kids in Syria describe, in their own words, what it's like to grow up in a war zone.",2618,-0.0243
41324,65.8714,66.1042,64.8356,65.7128,108854046,AAPL,41319,"Totally drug-resistant TB uncovered, outbreak would be untreatableIts Official: Julian Assange Will Run for OfficeOscar Pistorius (South African double-amputee Olympian) shoots and kills girlfriend after mistaking her for an intruderIceland considering ban of online pornographyA man burns himself to death outside a job centre in France after being declared ineligible for unemployment benefitCanada will never be a safe haven for zombies, Foreign Minister John Baird tells House of CommonsSouth Korea unveils missile it says can hit North's leadersEgypt floods Gaza tunnels to cut Palestinian lifelineThree people have been arrested in the US and accused of conspiring to smuggle endangered black rhino horns and carvings from the US into China.
Horsemeat Scandal: Up to 100.000 horses disappeared in Sweden since 2000, possibly sold as meat in EUIsrael's Prisoner X driven to suicide by interrogation, lawyer suggests
How the Latin American Drug War Will End: When change comes, it will be brought about by grassroots civil society organizing in the U.S. and in MexicoRussia Uses New Internet Censorship Bill To Silence Prominent Reporters Who Criticized The GovernmentEgypt's women brandish knives at sex assault protests. One hard-line cleric, Mohammed Abdullah, said women who go to protests ""were going there to get raped""Israel acknowledges 'Prisoner X' existence The Swiss-held version of the Mona Lisa is also a genuine painting by Leonardo da VinciNorway jails Rwandan for 21 years over role in 1994 genocid  -  Oslo court finds Sadi Bugingo guilty of complicity in premeditated killings of at least 2,000 people in Kibungo, eastern RwandaUp to 200 smuggling tunnels shut since Egyptian President Morsi took office; some 30% of all goods reach Gaza through tunnels.French driver trapped for an hour in speeding 125mph car with no brakesPakistani extremists rally against the evils of Valentines DayAustralia blocks North Koreans' visit over nuclear testHorsemeat has been detected in frozen lasagne on sale in Germany and supermarkets have started removing the product from their shelves.
Microsoft brings solar Wi-Fi to rural Kenya - The pilot project  named Mawingu, the Swahili word for ""cloud""  is part of an initiative by Microsoft and local telecoms firms to provide affordable, high-speed wireless broadband to rural areasMurdoch's Sun paper now caught up in NOTW-like hacking scandal. Gazan farmers attend Israeli conference aimed at supporting Gaza's agricultural sector",2495,-1.5914
41325,65.3842,65.3842,64.1142,64.1214,118891367,AAPL,41320,"Possible meteor shower reported in eastern RussiaRussia to ally with UN to address DPRK nuke issue100th Tibetan self-immolates in ChinaOne-fifth of Russian city apartments have no hot water, one-tenth no plumbing or heatingIslamists denounce Valentines Day as an excuse for forbidden sex, ban gift-buying in IndonesiaNorth Korea considering another nuclear test and missile launch this yearA Russian Emergencies Official Says at Least 1 Meteorite Has Fallen in Chelyabinsk RegionAustralian scientists discover malaria's 'Achilles heelA third of India's politicians currently have charges against them, ranging from forgery to rape to murderPictures from Carnival 2013!An Iranian Revolutionary Guard commander has been killed inside Syria by rebels battling Iran's close ally President Bashar al-Assad, Iranian officials and a rebel leader said on Thursday .6-year-old raped, brutalized in New Delhi, IndiaObama reaffirms commitments to defend JapanMP says jail is good for young Aboriginal peopleJos Genoino and Francisco Tenrio, respectively found guilty of bribery and under investigation for murder, have just become Congressmen. A third of Brazils lawmakers have either been convicted or are being investigated for crimes ranging from vote-buying to theft to slave-holding.Chinese appetite for shark fin soup devastating Mozambique coastline: Mantas and hammerheads to 'disappear' from divers' paradise if plunder is unchecked
Iraq war 'delivered little but bloodshed', say Britons in 10-year anniversary pollFrench meat processing company Spanghero sold meat labelled as beef despite knowing it could have been horsemeat, the French government has said.
 In their hurry to flee last month, al-Qaida fighters left behind a crucial document: Tucked under a pile of papers and trash is a confidential letter, spelling out the terror network's strategy for conquering northern Mali and reflecting internal discord over how to rule the region.Meteor explodes in RussiaSecond case of Sars-like virus in Britain indicates human-to-human infectionTunisia: ""Trade unions, representing about 30 percent of the labour force, have been protesting against the ruling Ennahada party.""Inside the Vatican: The $8 billion global institution where nuns answer the phonesBurma police used incendiary weapons against mine protesters, report says. Shells containing white phosphorus were used to disperse Letpadaung protesters, causing burns, investigation findsHuge Meteorite Impact in Russia! Striking Amateur Footage. ",2507,-0.3986
41326,63.7142,64.1671,63.2599,63.7228,111596821,AAPL,41321,"Czech Republic Legalizes Medical Marijuana UseU.S., Iran, Russia team up to save wrestling""If America did not exist, Russia would have to invent it. In a sense it already has: first as a dream, then as a nightmare. No other country looms so large in the Russian psyche. To Kremlin ideologists, the very concept of Russias sovereignty depends on being free of Americas influence.""'Russian Romeo' steals girlfriend from psych ward, sues mother for forced hospitalizationRussian lawmaker and party leader Vladimir Zhirinovsky claims meteor was a US weapons test: ""Those aren't meteors falling, it's the Americans testing new weapons""American engineer, stressed about US security, about to return home, ""hangs"" himself in Singapore under suspicious circumstances. Police refuses FBI assistance. Confiscates laptop, mobile phone.Portugal drug law show results ten years on, experts say.  Problematic drug use has dropped by HALF since the new law was put in placeMalaysia detains Australian senator Nick Xenophon - an outspoken critic of human rights in the countrySuspected meteor explosion reported in central CubaLot's of Meteor talk lately. Here's NASA's live stream of the huge meteor passing earth today.Assange's $4.5-million lockdown: UK police spending huge sums on 24-hour patrolUnprotected sex leads to rise in gay men in UK contracting HIV - One in 20 men who have sex with men in the UK now have HIV (1 in 12 in London), with unsafe sex among gay men also having increasedSaudi finally limits its religious police - announces legislation that reduces the authority of Islamist policeConservative Cabinet minister: ""Gay couples cannot provide safe environment for children""Taking the Lead Against Corporate Excess, Swiss to Vote on 'Fat Cat' Pay: Proposal grants binding shareholder vote on CEO salaries, bans golden parachutesDwindling church attendance - German Catholic and Protestant Churches Sell Off Church Buildings Model girlfriend fled to bathroom as Oscar Pistorius shot her through the doorCanada's environmental activists seen as 'threat to national security' by Harper GovernmentRussian nuclear bombers intercepted near GuamTaxpayers' money keeps Japan's whaling fleet afloat: public funds subsidise Japan's whaling industry to the tune of $8.9 million, even though only 11 per cent of citizens support itWhy Did So Many Russian Drivers Get Such Great Meteor Videos?Japanese whalers harpooned a Minke in Australian watersThree men jailed in UK for deliberately causing a 'crash for cash' car wreck that led to a woman dyingRussian parliament member says meteor was actually a U.S. weapons testPrehistoric pornography: Chinese carvings show explicit copulation. - Its at least 3,000 years old, and its bi-curious.",2732,0.6786
41327,64.1785,64.5142,63.7999,64.4014,82583823,AAPL,41322,"Suspects in sex cases should have their identities protected until they are convicted, a senior lawyer has saidPope Benedict XVIs leaked documents show fractured Vatican full of rivalriesIn a village in India's poorest state, Bihar, farmers are growing world record amounts of rice  with no GM, and no herbicideMissing Egyptian activist found naked, tortured in desert, says was abducted.Uprising against Taliban gains momentumBomb rips through Pakistan market, killing 63
Secret funding of climate sceptics is not restricted to the US: In the UK, wealthy rightwing donors also finance campaigns against policies to reduce greenhouse gasesUK, Germany and France Call for New Laws on Corporate Tax Avoidance:  Britain, Germany and France have called on their fellow G20 nations to introduce global tax rules in order to combat corporate tax avoidance that is costing countries millions in lost revenue.AFP: Bloodied cricket bat found at Pistorius home: Reeva Steenkamp's Skull Had Been ""Crushed""Libya arrests 4 foreigners suspected of trying to spread Christianity in Muslim nationNorth Korea tells China of preparations for fresh nuclear testRussia Meteorite Blast Equals 500-Kiloton Explosion - NASA. (Hiroshima in 1945 released an estimated 15 kilotons)Russian Prison Working Pussy Riot To DeathAdrift as Shape of Families Changes, Koreas Elderly Increasingly Turn to SuicideNASA now says the Chelyabinsk meteor must have been about 55 feet wide (17 meters wide) with a mass of 10,000 tons before it entered Earths atmosphere.The British home secretary has accused judges of 'subverting' democracy and making the streets of Britain more dangerous by ignoring rules aimed at deporting more foreign criminalsSome Chinese Are Souring on Being North Koreas Best Friend India's rice revolution:  In a village in India's poorest state, Bihar, farmers are growing world record amounts of rice  with no GM, and no herbicide. Is this one solution to world food shortages?First Krispy Kreme store in Scotland creates massive traffic jam (xpost /r/NewsOfTheWeird)EU calls for better conditions for Palestinians jailed in IsraelRussian Meteor Blast Bigger Than Thought, NASA SaysHezbollah chief warns Hassan Shateri Dead: Iran Vows Revenge On Israel For Killing Of Guard Commander In SyriaIsrael Treats Wounded Syrians Along FrontierFamily Cleans House, Finds Pet Tortoise Missing Since 1982 Exploding Fireballs Reported In Japan, Russia, Cuba, US",2438,-1.1443
