date,close,volume,open,high,low,,
13:06,286.56,"61,841,421",285.26,287.12,283.3,2019-04-09T22:38:00.000+03:00,Apple stops charging $99 to transfer data to new Macs
5/8/19,287.53,91568290,287.93,289.43,286.87,2019-04-10T02:31:00.000+03:00,Apple toma imágenes de las calles de Puerto Rico
5/7/19,287.93,144729900,292.82,290.81,285.81,2019-04-09T21:52:00.000+03:00,Dos estudiantes estafan a Apple en EE UU con 1.493 iPhone falsos supuestamente defectuosos | Tecnología
5/6/19,292.82,107198100,294.03,293.31,288.9,2019-04-10T19:43:00.000+03:00,Prince Harry and Oprah Winfrey to partner on mental health series for Apple TV
5/3/19,294.03,56543650,291.18,294.34,291.3,2019-04-10T13:49:00.000+03:00,Prince Harry and Oprah team up to create mental health documentary on Apple TV
5/2/19,291.18,65030170,291.81,292.7,289.52,2019-04-10T19:50:00.000+03:00,Prince Harry and Oprah are making a show about mental health for Apple TV - CNN
5/1/19,291.81,71671870,294.02,294.95,291.8,2019-04-10T21:34:00.000+03:00,Prince Harry And Oprah Are Working On A Mental Health Documentary Series For Apple TV
4/30/19,294.02,78594690,293.49,294.34,291.92,2019-04-10T03:00:00.000+03:00,"Apple stock price: New services may not sell more iPhones, HSBC warns - Business Insider"
4/29/19,293.87,57043380,293.51,294.45,293.41,2019-04-10T15:30:00.000+03:00,Prince Harry & Oprah Team Up for Mental Health Series on Apple TV
4/26/19,293.41,50868100,292.1,293.49,291.2401,2019-04-10T12:21:00.000+03:00,iTunes is finally dying as Apple reportedly breaks out ...
4/25/19,292.05,57578550,292.12,292.78,290.73,2019-04-10T18:21:00.000+03:00,"Apple, Google, and Netflix don’t require employees to have 4-year degrees, and this could soon become an industry norm"
4/24/19,292.23,49470960,292.79,293.16,292.07,2019-04-10T23:00:00.000+03:00,"Apple, Google, and Netflix don't require employees to have 4-year degrees, and this could soon become an industry norm"
4/23/19,292.88,52136160,290.68,293.14,290.42,2019-04-10T03:00:00.000+03:00,Apple Music Censors Songs about Tiananmen Square Massacre for Chinese Government | Breitbart
4/22/19,290.27,39992680,289.17,290.435,289.07,2019-04-10T09:02:00.000+03:00,"Apple TV Plus release date, price info and everything you need to know"
4/18/19,290.02,68662280,290.1,290.32,288.66,2019-04-11T03:00:00.000+03:00,Matthews films friendship with Marner in new Apple ad | NHL.com
4/17/19,289.45,58028490,291.4,291.425,288.99,2019-04-11T03:00:00.000+03:00,Apple Inc.: Made-in-India X from July - The Economic Times
4/16/19,290.16,52066270,290.95,291.01,289.5,2019-04-11T12:25:00.000+03:00,Apple persuades Foxconn and TSMC to use only renewable energy when making iPhones
4/15/19,289.97,49795630,290.24,290.35,289.075,2019-04-11T13:00:00.000+03:00,What the Apple-Qualcomm battle means for your next iPhone - CNET
4/12/19,290.16,69638530,290,290.47,288.261,2019-04-11T23:00:00.000+03:00,20 jobs you can get at companies like Apple or Google that don't require a 4-year degree
4/11/19,288.21,54940520,288.83,288.84,287.578,2019-04-11T19:28:00.000+03:00,This $80 smartwatch has a longer battery life than the Apple Watch or Fitbit and many of the same features — here's what it's like
4/10/19,288.29,52463390,287.77,288.3899,287.31,2019-04-11T20:00:00.000+03:00,"Your Apple ID is the key to unlock a world of wonder, here's how to get one"
4/9/19,287.31,66072820,287.72,288.08,286.7,2019-04-11T03:00:00.000+03:00,"Xiaomi: cómo el ""ave fénix chino"" creció hasta competir con Samsung, Apple y Huawei - BBC News Mundo"
4/8/19,288.79,53462150,288.1,288.91,287.37,2019-04-11T22:29:00.000+03:00,Seventy new jobs for Central Hawke's Bay as OIO approves farm conversion to huge apple orchard
4/5/19,288.57,58454610,287.92,288.63,287.6,2019-04-11T03:00:00.000+03:00,"Uber S-1: Apple, Google's app store dominance is risk to business - Business Insider"
4/4/19,287.18,48868830,286.78,287.459,286.01,2019-04-12T05:00:00.000+03:00,Uber warns that Apple and Google's stranglehold over the distribution of apps poses a major risk to its business
4/3/19,286.42,68027480,287.32,287.76,285.75,2019-04-11T22:40:00.000+03:00,"Young apple trees are dying, and no one understands why - Applecalypse now"
4/2/19,285.97,39939210,286.04,286.23,285.09,2019-04-12T07:06:00.000+03:00,"BIG TECH IN HEALTHCARE: How Alphabet, Amazon, Apple, and Microsoft are shaking up healthcare — and what it means for the future of the industry (GOOGL, AAPL, AMZN, MSFT)"
4/1/19,285.83,77289510,284.7,286.16,284.4,2019-04-12T22:45:00.000+03:00,"Bad news for Apple, Tracon slides, Boeing completes test flights"
3/29/19,282.48,81882480,282.39,282.84,281.14,2019-04-12T03:00:00.000+03:00,"Disney Plus isn't a 'Netflix killer,' but Apple should be worried - Business Insider"
3/28/19,280.71,55987830,280.35,281.21,279.07,2019-04-13T02:00:00.000+03:00,"Disney Plus isn't a 'Netflix killer,' but other streamers like Apple should be worried"
3/27/19,279.65,72092750,281.11,281.76,277.93,2019-04-13T00:21:00.000+03:00,Best iPhone 2019: which Apple phone is the best?
