date,close,volume,open,high,low
5/4/09,90.88,286443500,88.55,90.94,88.38
5/5/09,90.57,242915500,90.57,90.93,89.84
5/6/09,92.141,291256300,91.68,92.2,90.61
5/7/09,90.86,317296300,93.01,93.15,90.28
5/8/09,92.98,299006300,92.03,93.22,90.911
5/11/09,91.24,247542200,91.7,92.11,91.04
5/12/09,90.97,282172000,91.63,91.83,89.85
5/13/09,88.68,269312300,89.74,90.01,88.5
5/14/09,89.44,259817600,88.72,90.12,88.5
5/15/09,88.71,271434900,89.37,90,88.15
5/18/09,91.23,241366600,89.55,91.34,88.5702
5/19/09,91.12,205693300,91.18,91.97,90.81
5/20/09,90.51,285345200,91.95,92.8,90.41
5/21/09,89.21,258399500,89.46,89.8,88.26
5/22/09,89.02,166715100,89.46,90,88.68
5/26/09,91.3,236155900,88.36,91.56,88.32
5/27/09,89.67,245960700,91.44,91.75,89.53
5/28/09,90.92,289003100,90.46,91.34,89.1
5/29/09,92.53,258258000,91.42,93.7,90.68
6/1/09,94.77,276099500,93.67,95.17,93.43
6/2/09,94.85,230349800,94.4,95.37,87.53
6/3/09,93.65,235273100,94.04,94.13,92.76
6/4/09,94.53,209742800,94,94.67,93.3
6/5/09,94.55,284191200,95.49,95.67,93.8
6/8/09,94.16,238468700,93.84,95.1,93.04
6/9/09,94.64,224906100,94.69,95.145,94.02
6/10/09,94.4,295597300,95.48,95.49,93.19
6/11/09,94.82,274230400,94.58,96.11,94.56
6/12/09,95.08,184346500,94.4,95.14,94
6/15/09,92.9,224098900,93.96,94.02,92.4
6/16/09,91.64,226966200,93.23,93.29,91.58
6/17/09,91.55,223351100,91.6,92.33,90.83
6/18/09,92.219,211345100,91.69,92.67,91.25
6/19/09,92.04,213279800,92.58,92.7,91.52
6/22/09,89.28,247203700,91.14,91.19,89.25
6/23/09,89.35,188081900,89.47,89.88,88.85
6/24/09,90.118,211484500,90.16,91.08,89.6
6/25/09,92.08,278994000,89.67,92.17,89.57
6/26/09,91.84,167514900,91.77,92.24,91.27
6/29/09,92.7,168354800,92.11,92.82,91.6
6/30/09,91.95,228763900,92.72,93.06,91.27
7/1/09,92.33,172930700,92.34,93.23,92.21
7/2/09,89.81,212100800,91.13,92.3624,89.76
7/6/09,89.8,170497400,88.94,89.93,88.66
7/7/09,88.06,198431900,89.71,89.82,88
7/8/09,88,247835800,88.59,88.8,87
7/9/09,88.17,163715000,88.61,88.9,87.91
7/10/09,87.96,173364200,87.7,88.49,87.35
7/13/09,90.102,216764400,88.31,90.17,87.59
7/14/09,90.61,181176400,90.38,90.69,89.73
7/15/09,93.26,219797600,91.81,93.51,90.6795
7/16/09,93.11,231074900,93,94.51,92.82
7/17/09,94.13,138442800,94.06,94.32,93.54
7/20/09,95.131,164038800,94.68,95.29,94.19
7/21/09,95.57,217310000,95.87,95.9,94.42
7/22/09,95.55,195906600,94.96,96.13,94.89
7/23/09,97.661,258236200,95.61,98.08,95.53
7/24/09,98.06,153733300,97.2,98.14,96.69
7/27/09,98.35,158899700,97.88,98.4,97.34
7/28/09,97.89,186422400,97.66,98.37,97.06
7/29/09,97.652,194216200,97.44,98.088,96.98
7/30/09,98.67,225340200,98.83,99.83,98.6
7/31/09,98.81,207289600,98.65,99.47,98.38
8/3/09,100.44,175319400,99.85,100.53,99.31
8/4/09,100.7,176566200,99.99,100.84,99.78
8/5/09,100.41,184253100,100.77,100.855,99.58
8/6/09,99.89,193030700,100.87,101.02,99.42
8/7/09,101.202,220578000,100.94,102.03,100.39
8/10/09,100.99,130676800,100.74,101.22,100.27
8/11/09,99.73,157225900,100.54,100.61,99.46
8/12/09,100.8,218707400,99.56,101.56,99.51
8/13/09,101.57,176343600,101.26,101.61,100.26
8/14/09,100.79,199574400,101.52,101.6,99.7
8/17/09,98.31,237584200,98.85,98.95,98.115
8/18/09,99.09,173385600,98.53,99.44,98.35
8/19/09,99.96,192202200,98.31,100.3,98.21
8/20/09,100.99,173902500,100.09,101.22,99.87
8/21/09,102.97,224426700,101.82,103.13,101.62
8/24/09,102.96,190984100,103.39,103.95,102.59
8/25/09,103.16,214733900,103.37,104.26,102.94
8/26/09,103.17,194107500,102.84,103.64,102.49
8/27/09,103.4,195812500,103.11,103.72,101.94
8/28/09,103.38,146958500,104.23,104.35,102.67
8/31/09,102.46,175906700,102.37,102.58,101.79
9/1/09,100.2,321103400,101.95,103.24,99.99
9/2/09,99.82,171505900,99.78,100.44,99.57
9/3/09,100.65,143299600,100.4,100.77,99.59
