,hourNmin,compound,neg,neu,pos
0,"0,31,",-0.5574,0.286,0.714,0
1,"1,0,",0,0,1,0
2,"1,16,",0.296,0.149,0.632,0.218
3,"1,18,",0,0,1,0
4,"1,20,",0.0062,0.253,0.592,0.155
5,"1,28,",0.11015,0.1065,0.7705,0.123
6,"1,45,",0.0516,0.138,0.714,0.148
7,"1,47,",-0.5713,0.195,0.734,0.071
8,"1,49,",-0.5423,0.273,0.606,0.121
9,"1,58,",0,0,1,0
10,"1,7,",0.0516,0.138,0.714,0.148
11,"1,9,",-0.1779,0.196,0.654,0.15
12,"10,0,",-0.5647,0.317,0.683,0
13,"10,13,",0,0,1,0
14,"10,31,",-0.7351,0.508,0.492,0
15,"10,9,",0,0,1,0
16,"11,0,",-0.2199,0.153,0.77,0.077
17,"11,1,",0,0,1,0
18,"11,19,",0.4404,0,0.805,0.195
19,"11,28,",0,0,1,0
20,"11,3,",0,0,1,0
21,"11,38,",-0.5423,0.273,0.606,0.121
22,"11,4,",0,0,1,0
23,"11,41,",0,0,1,0
24,"11,46,",0,0,1,0
25,"11,51,",-0.1779,0.159,0.841,0
26,"11,55,",0,0,1,0
27,"12,0,",-0.50585,0.202,0.7625,0.0355
28,"12,24,",0,0,1,0
29,"12,30,",0,0,1,0
30,"12,34,",-0.2263,0.213,0.787,0
31,"12,50,",0.4588,0,0.786,0.214
32,"12,51,",0.0351,0.1045,0.78,0.1155
33,"12,54,",-0.765,0.623,0.377,0
34,"13,0,",-0.02836,0.1244,0.7844,0.0912
35,"13,13,",-0.6705,0.273,0.727,0
36,"13,18,",-0.5423,0.273,0.606,0.121
37,"13,23,",-0.5574,0.247,0.753,0
38,"13,25,",0,0,1,0
39,"13,3,",0.4767,0,0.829,0.171
40,"13,30,",-0.765,0.623,0.377,0
41,"13,42,",0.0062,0.253,0.592,0.155
42,"13,46,",0,0,1,0
43,"13,8,",-0.5305,0.4175,0.5275,0.055
44,"14,0,",-0.2787,0.143,0.857,0
45,"14,10,",0,0,1,0
46,"14,12,",0.0772,0,0.909,0.091
47,"14,16,",0.0062,0.253,0.592,0.155
48,"14,17,",0.0772,0,0.909,0.091
49,"14,21,",0.0062,0.253,0.592,0.155
50,"14,22,",0,0,1,0
51,"14,28,",0.4588,0,0.786,0.214
52,"14,30,",0.148,0.0745,0.816,0.109
53,"14,34,",0.0772,0,0.909,0.091
54,"14,37,",0,0,1,0
55,"14,42,",0,0,1,0
56,"14,5,",0,0,1,0
57,"14,53,",-0.765,0.623,0.377,0
58,"14,58,",0,0,1,0
59,"15,0,",-0.2429,0.282666667,0.660333333,0.057
60,"15,10,",0,0,1,0
61,"15,15,",0.4767,0,0.829,0.171
62,"15,19,",-0.4404,0.225,0.775,0
63,"15,23,",-0.1779,0.196,0.654,0.15
64,"15,3,",0.4404,0,0.805,0.195
65,"15,32,",0.2023,0,0.847,0.153
66,"15,43,",0,0,1,0
67,"15,46,",-0.6597,0.268,0.732,0
68,"15,50,",0,0,1,0
69,"15,51,",0,0,1,0
70,"15,55,",0,0,1,0
71,"15,9,",-0.5106,0.191,0.809,0
72,"16,13,",-0.9274,0.576,0.424,0
73,"16,19,",-0.4404,0.209,0.791,0
74,"16,20,",0,0,1,0
75,"16,23,",0.5106,0,0.769,0.231
76,"16,27,",-0.4404,0.225,0.775,0
77,"16,30,",-0.5574,0.286,0.714,0
78,"16,33,",-0.4019,0.231,0.769,0
79,"16,35,",0.0772,0,0.909,0.091
80,"16,37,",-0.6597,0.268,0.732,0
81,"16,39,",-0.5106,0.269,0.621,0.11
82,"16,40,",0,0,1,0
83,"16,42,",-0.5647,0.317,0.683,0
84,"16,46,",-0.34,0.265,0.612,0.122
85,"16,52,",0,0,1,0
86,"16,54,",0,0,1,0
87,"16,56,",0.296,0.149,0.632,0.218
88,"17,13,",-0.0516,0.198,0.617,0.185
89,"17,14,",-0.6705,0.273,0.727,0
90,"17,15,",0,0,1,0
91,"17,18,",-0.5574,0.247,0.753,0
92,"17,22,",0,0,1,0
93,"17,26,",-0.4019,0.231,0.769,0
94,"17,27,",-0.0259,0.0955,0.7975,0.107
95,"17,30,",0.0062,0.253,0.592,0.155
96,"17,42,",-0.9287,0.578,0.422,0
97,"17,44,",-0.1779,0.196,0.654,0.15
98,"17,47,",0,0,1,0
99,"17,51,",0.2023,0,0.847,0.153
100,"17,57,",-0.255,0.207666667,0.792333333,0
101,"17,8,",0.5106,0,0.769,0.231
102,"17,9,",0.0516,0.138,0.714,0.148
103,"18,0,",0,0,1,0
104,"18,10,",-0.9287,0.578,0.422,0
105,"18,14,",-0.1779,0.196,0.654,0.15
106,"18,20,",0,0,1,0
107,"18,23,",0,0,1,0
108,"18,27,",0,0,1,0
109,"18,28,",0.5106,0,0.769,0.231
110,"18,39,",0,0,1,0
111,"18,4,",0.4767,0,0.829,0.171
112,"18,42,",-0.9274,0.576,0.424,0
113,"18,43,",0.0386,0,0.9545,0.0455
114,"18,46,",0.4767,0,0.829,0.171
115,"18,55,",0,0,1,0
116,"18,8,",0.2202,0,0.9025,0.0975
117,"19,0,",-0.4019,0.231,0.769,0
118,"19,13,",0.4767,0,0.829,0.171
119,"19,14,",0,0,1,0
120,"19,2,",0,0,1,0
121,"19,21,",0.296,0.149,0.632,0.218
122,"19,23,",0,0,1,0
123,"19,28,",-0.4404,0.225,0.775,0
124,"19,33,",0,0,1,0
125,"19,35,",0,0,1,0
126,"19,41,",-0.2263,0.213,0.787,0
127,"2,27,",-0.4404,0.225,0.775,0
128,"2,31,",0,0,1,0
129,"2,6,",0,0,1,0
130,"2,7,",0.2023,0,0.847,0.153
131,"20,16,",0.296,0.149,0.632,0.218
132,"20,24,",0,0,1,0
133,"20,46,",0,0,1,0
134,"20,53,",0,0,1,0
135,"20,54,",0,0,1,0
136,"20,58,",-0.5106,0.191,0.809,0
137,"20,59,",0.4588,0,0.786,0.214
138,"20,8,",-0.484266667,0.415333333,0.554333333,0.030333333
139,"21,1,",0.0062,0.253,0.592,0.155
140,"21,11,",-0.2787,0.143,0.857,0
141,"21,14,",0,0,1,0
142,"21,18,",-0.9274,0.576,0.424,0
143,"21,38,",0,0,1,0
144,"21,4,",0.0122,0.0795,0.844,0.0765
145,"21,41,",0.4588,0,0.786,0.214
146,"21,49,",-0.5713,0.195,0.734,0.071
147,"21,52,",-0.4389,0.182,0.818,0
148,"21,6,",0,0,1,0
149,"21,8,",0.0516,0.138,0.714,0.148
150,"22,0,",0,0,1,0
151,"22,18,",-0.4404,0.209,0.791,0
152,"22,29,",-0.6249,0.291,0.709,0
153,"22,33,",0,0,1,0
154,"22,48,",-0.5106,0.269,0.621,0.11
155,"22,52,",-0.6705,0.273,0.727,0
156,"23,13,",0.5106,0,0.769,0.231
157,"23,26,",0,0,1,0
158,"23,30,",0.4588,0,0.786,0.214
159,"23,34,",0,0,1,0
160,"23,35,",-0.157966667,0.123666667,0.839666667,0.036666667
161,"23,38,",-0.5423,0.273,0.606,0.121
162,"23,56,",0,0,1,0
163,"23,57,",0.4767,0,0.829,0.171
164,"23,6,",-0.3902,0.245,0.6935,0.061
165,"23,8,",0,0,1,0
166,"3,1,",0,0,1,0
167,"3,11,",0.4466,0,0.754,0.246
168,"3,19,",-0.4019,0.231,0.769,0
169,"3,3,",0,0,1,0
170,"3,30,",0,0,1,0
171,"3,33,",0.296,0.149,0.632,0.218
172,"3,50,",-0.4404,0.209,0.791,0
173,"3,7,",-0.2787,0.143,0.857,0
174,"4,1,",0.296,0.149,0.632,0.218
175,"4,15,",0.2023,0,0.847,0.153
176,"4,43,",0.1719,0.077,0.780333333,0.142666667
177,"4,9,",-0.5574,0.286,0.714,0
178,"5,0,",-0.4019,0.231,0.769,0
179,"5,20,",-0.9274,0.576,0.424,0
180,"5,24,",0.0772,0,0.909,0.091
181,"5,34,",0,0,1,0
182,"5,35,",-0.6705,0.273,0.727,0
183,"5,37,",-0.5574,0.286,0.714,0
184,"5,45,",-0.6249,0.291,0.709,0
185,"5,55,",-0.4389,0.182,0.818,0
186,"5,59,",-0.4404,0.209,0.791,0
187,"6,35,",0,0,1,0
188,"6,8,",0,0,1,0
189,"8,22,",0.0516,0.138,0.714,0.148
190,"9,0,",-0.11905,0.1125,0.811,0.0765
191,"9,20,",0,0,1,0
192,"9,22,",0.0516,0.138,0.714,0.148
193,"9,45,",0.4404,0,0.805,0.195
194,"9,47,",0,0,1,0
